"topic","app","experiment1","experiment1","experiment2"
"topic3","app2","0.3401358315447824","0.3335789017410925","0.3328943180453886"
"topic3","app4","0.3332417133315529","0.3259473113068891","0.33012538696429045"
"topic2","app1","0.3316783322022095","0.3325497968414626","0.33368542055256684"
"topic2","app4","0.3315804445912153","0.3334237279485901","0.332492231012601"
