strategy,avg_lik,avg_imp,avg_risk,avg_len
0,0.9956746974528995,0.6908384333074787,0.6872508089801515,4.751933974993253
2#7b9cc9ef-f34d-4fcf-80cb-e716375e96e1,0.9927088156707999,0.7235164632898209,0.717308476336309,4.429918203244142
2#4d911f09-880e-4a2f-a458-8458fc0aad04,0.9914069040810839,0.7302023312729435,0.7227718442270422,4.267848766300778
2#8f347a1c-08eb-46dc-aaa8-aff5a2461f61,0.9793858462899198,0.7366863939168735,0.7185730254284772,3.691371681415929
2#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa,0.9870905694837812,0.6992807799207952,0.6887712569598158,4.133636850562399
2#773b7113-fc91-40aa-bbcf-5434e29664b6,0.7329956500280602,0.7192121653036975,0.5052065311889331,1.943579766536965
2#968d99bc-23a0-4ac7-ba6e-4bc94af8c26d,0.9503809252440701,0.7207122456134681,0.678992685525426,3.1
1#7b9cc9ef-f34d-4fcf-80cb-e716375e96e1#CVE-2020-15486,0.9947279950834993,0.6934276093831064,0.6890083664493807,4.641608499598493
1#7b9cc9ef-f34d-4fcf-80cb-e716375e96e1#CVE-2024-32368,0.9951051081019069,0.7063825840585426,0.7022971336374916,4.70517488973228
1#4d911f09-880e-4a2f-a458-8458fc0aad04#CVE-2002-2036,0.9950597393810205,0.6911444271732549,0.6870338494580212,4.628909518307502
1#4d911f09-880e-4a2f-a458-8458fc0aad04#CVE-2017-9288,0.9950984621780851,0.7041807607221219,0.7000641226268648,4.70859872611465
1#4d911f09-880e-4a2f-a458-8458fc0aad04#CVE-2017-18531,0.9950984621780851,0.7041807607221219,0.7000641226268648,4.70859872611465
1#8f347a1c-08eb-46dc-aaa8-aff5a2461f61#CVE-2020-8140,0.995477390103826,0.6820425642041862,0.67829128319902,4.786752257336343
1#8f347a1c-08eb-46dc-aaa8-aff5a2461f61#CVE-2021-23827,0.9955417734568667,0.6891160909651854,0.6854223912299984,4.786752257336343
1#8f347a1c-08eb-46dc-aaa8-aff5a2461f61#CVE-2021-34423,0.9959019798603591,0.6897449715915165,0.6863108070778192,4.786752257336343
1#8f347a1c-08eb-46dc-aaa8-aff5a2461f61#CVE-2021-34424,0.9959019798603591,0.696185414464171,0.6926750975449024,4.786752257336343
1#8f347a1c-08eb-46dc-aaa8-aff5a2461f61#CVE-2023-24068,0.9954361935574862,0.6872947435229514,0.6835152305670316,4.755983263598327
1#8f347a1c-08eb-46dc-aaa8-aff5a2461f61#CVE-2023-43799,0.9954361935574862,0.6872947435229514,0.6835152305670316,4.755983263598327
1#8f347a1c-08eb-46dc-aaa8-aff5a2461f61#CVE-2024-27247,0.9940082402406489,0.700126438850032,0.6951575376836556,4.495759276582476
1#8f347a1c-08eb-46dc-aaa8-aff5a2461f61#CVE-2024-37885,0.9940025708243153,0.7155692464121789,0.7105946758294613,4.495759276582476
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2004-2527,0.9957898617123422,0.682453256290931,0.6790169982928054,4.737322036425075
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2016-0190,0.9952891033263022,0.6938838955083279,0.6899808552236473,4.737322036425075
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2022-4287,0.9954737424848347,0.6866598327302575,0.6829263842868973,4.738859525772196
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2023-1574,0.9954737424848347,0.6914706987134338,0.6877141600714326,4.738859525772196
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2023-1939,0.9954737424848347,0.696220416727491,0.6924419936037163,4.738859525772196
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2023-2282,0.9954737424848347,0.6914706987134338,0.6877141600714326,4.738859525772196
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2023-4417,0.9954737424848347,0.6914706987134338,0.6877141600714326,4.738859525772196
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2023-5765,0.9955880935191881,0.6866598327302575,0.6830282250550799,4.738859525772196
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2023-5766,0.9955880935191882,0.6866598327302575,0.6830282250550793,4.738859525772196
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2024-0589,0.9953685111884123,0.7005704782582792,0.6967157897835909,4.737322036425075
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2024-2403,0.9956746001829566,0.6908314807006761,0.6872437756927469,4.752018350687027
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2024-3545,0.9956746001829566,0.6908314807006761,0.6872437756927469,4.752018350687027
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2024-6055,0.9956746001829566,0.6908314807006761,0.6872437756927469,4.752018350687027
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2024-6354,0.9956746001829566,0.6908314807006761,0.6872437756927469,4.752018350687027
1#4ac33f98-c1b5-42c0-912b-6cf51f1f19aa#CVE-2024-6492,0.9956746001829566,0.6908314807006761,0.6872437756927469,4.752018350687027
1#773b7113-fc91-40aa-bbcf-5434e29664b6#CVE-2016-1255,0.98792968773257,0.6568772569609413,0.6468524975936808,3.8865968168799623
1#773b7113-fc91-40aa-bbcf-5434e29664b6#CVE-2024-0985,0.9940316965870498,0.6849031816042349,0.6798553613032445,4.6004164300586785
