strategy,avg_lik,avg_imp,avg_risk,avg_len,num_paths,dst
2 63841b50abde7be7f36b38e66695e322dcbc90c9,0.4281365883869299,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
2 12b5d1af19957351a3a7da2294735440bfc34828,0.4281365883869299,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
9 9a1c0c332d096dda37d9c78df9082cd782e2c043,0.4281365883869299,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
9 cc406827f27a6e34d2407e7795c952a3ef205827,0.4281365883869299,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
9 54d47d36c3b4ee51b0dbf2c15f42f148098292fa,0.4281365883869299,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
9 eaf7803fe8421370005d6873a34100b474380d38,0.4281365883869299,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
9 63841b50abde7be7f36b38e66695e322dcbc90c9,0.4281365883869299,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
9 12b5d1af19957351a3a7da2294735440bfc34828,0.4281365883869299,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
2 718d0e361c36b3da6577d2b718a7d2cce626c57b,0.4281365883869299,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
9 718d0e361c36b3da6577d2b718a7d2cce626c57b,0.4281365883869299,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
2 5dbf2ca6d553a063e96da3695d4611563d62737d,0.428263289279012,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
9 5dbf2ca6d553a063e96da3695d4611563d62737d,0.428263289279012,0.08860759493670886,0.022802231895679394,1.903254972875226,1105,718d0e361c36b3da6577d2b718a7d2cce626c57b
